layer,neuron,change_score
30,13499,1.1501171588897705
30,11106,1.1499640941619873
30,4128,1.1498571634292603
30,10272,1.149796485900879
31,3568,1.14967679977417
31,1585,1.1492273807525635
31,10595,1.1492010354995728
30,13059,1.1488242149353027
31,1632,1.1485055685043335
31,10522,1.1484190225601196
30,5850,1.1464933156967163
30,4361,1.1456019878387451
30,10554,1.1439814567565918
30,11389,1.1438058614730835
30,14095,1.1429569721221924
31,667,1.1423519849777222
31,1351,1.14220130443573
30,23,1.141394853591919
30,3346,1.1413465738296509
31,13618,1.1413230895996094
26,2589,1.1410243511199951
31,7001,1.1405458450317383
30,7910,1.140339970588684
31,12771,1.1393336057662964
30,4092,1.13904869556427
31,5645,1.138940453529358
30,225,1.1382704973220825
31,4101,1.136698842048645
31,11509,1.1359695196151733
31,7676,1.1351913213729858
30,5473,1.1344470977783203
30,728,1.133439540863037
31,1831,1.1333972215652466
31,8813,1.1330796480178833
31,2088,1.132294774055481
30,14161,1.1309740543365479
31,3514,1.1303941011428833
31,11080,1.1302063465118408
31,8664,1.128389596939087
31,8407,1.127946376800537
31,7052,1.1277287006378174
30,6543,1.1268244981765747
31,6096,1.1261296272277832
31,12491,1.125820517539978
30,1943,1.1252213716506958
31,5756,1.125085473060608
30,12534,1.1241562366485596
31,11471,1.123997449874878
30,11240,1.1236547231674194
31,8371,1.1235122680664062
30,3886,1.1232208013534546
31,6440,1.123091697692871
27,8140,1.1225899457931519
31,7478,1.1222654581069946
30,8696,1.1221462488174438
30,12556,1.1195734739303589
31,3548,1.1188172101974487
30,3941,1.1183300018310547
30,11803,1.1182514429092407
31,12819,1.1176241636276245
31,6556,1.1156461238861084
31,12995,1.114499807357788
30,13613,1.1122435331344604
26,13136,1.1101845502853394
31,10212,1.1100165843963623
31,7874,1.1099438667297363
31,14061,1.10945463180542
31,2622,1.1086721420288086
31,9355,1.1069194078445435
30,11494,1.1055012941360474
30,5687,1.1054385900497437
30,9247,1.1053999662399292
28,8979,1.104209303855896
30,2427,1.1023138761520386
30,5072,1.100550889968872
30,2127,1.099486231803894
31,7193,1.099257230758667
31,13862,1.0990757942199707
30,13655,1.0986930131912231
30,9787,1.098545789718628
30,9719,1.0984305143356323
30,3097,1.0977777242660522
31,3621,1.0962194204330444
31,8503,1.0955169200897217
30,14158,1.0938305854797363
30,1235,1.0937241315841675
30,10868,1.0935109853744507
30,10974,1.0935076475143433
31,9968,1.0932523012161255
31,3135,1.0931652784347534
30,1969,1.0930538177490234
31,12035,1.0926399230957031
30,8562,1.0924160480499268
31,7093,1.0922619104385376
30,2070,1.092090368270874
25,3897,1.0907789468765259
30,2017,1.0906038284301758
31,11264,1.0885483026504517
31,7019,1.086724042892456
31,1060,1.086374282836914
30,11076,1.0860390663146973
30,1874,1.0860015153884888
26,450,1.0859864950180054
31,11354,1.0858017206192017
31,8064,1.0851114988327026
30,1441,1.0843112468719482
31,10786,1.0839266777038574
30,2268,1.0836668014526367
30,4882,1.0833696126937866
30,1668,1.0832939147949219
31,5455,1.0831143856048584
30,11022,1.0806282758712769
30,13308,1.080342411994934
30,12016,1.0790103673934937
31,11434,1.0783252716064453
30,8638,1.078231692314148
31,3589,1.0781896114349365
30,11210,1.0767135620117188
31,1165,1.0764654874801636
31,13649,1.0761855840682983
31,13677,1.0759578943252563
31,5419,1.0756163597106934
31,8990,1.074668288230896
31,3081,1.074558973312378
31,6158,1.0731682777404785
31,9005,1.0725243091583252
30,13863,1.0706125497817993
31,5259,1.0698648691177368
30,9350,1.0680530071258545
29,9588,1.0669811964035034
30,11328,1.0660120248794556
31,7261,1.065293788909912
31,4609,1.0650928020477295
30,10849,1.0648399591445923
31,5675,1.0647512674331665
30,6406,1.06389319896698
30,120,1.0628949403762817
31,4943,1.062677025794983
30,1047,1.0620274543762207
31,9955,1.0611013174057007
31,7038,1.0607134103775024
31,12034,1.0600537061691284
30,5042,1.0596445798873901
30,2204,1.0594372749328613
30,9219,1.0593432188034058
30,5946,1.0577425956726074
30,13681,1.0570005178451538
30,8437,1.0569031238555908
31,3237,1.0560446977615356
30,1609,1.0557150840759277
28,12167,1.0548943281173706
31,6683,1.0548688173294067
31,9628,1.0538994073867798
30,58,1.0527600049972534
31,7925,1.0517125129699707
31,14324,1.0512800216674805
31,5369,1.0507926940917969
31,10462,1.0501854419708252
30,12499,1.050101637840271
26,2645,1.0498778820037842
30,11625,1.0480302572250366
30,5501,1.047900676727295
31,8331,1.0469779968261719
31,1934,1.0469260215759277
30,995,1.0460025072097778
30,5705,1.0458210706710815
30,9100,1.0452648401260376
31,10792,1.0433895587921143
30,2446,1.042919397354126
31,2293,1.0422334671020508
31,6692,1.0407812595367432
31,8508,1.0407166481018066
29,10255,1.0405277013778687
31,7217,1.0388317108154297
31,10757,1.0382204055786133
28,12253,1.0376312732696533
31,10152,1.0366390943527222
